spot,Flags,Column,Row,Name,ID,RefNumber,c253295110048_ar2_jun1912_A_SL,c253295110048_ar1_jun1912_B_SL,c253295110048_ar4_jun1912_C_SL,c253295110048_ar3_jun1912_A_L,c253295110048_ar6_jun1912_B_L,c253295110048_ar5_jun1912_C_L,c253295110048_ar8_jun1912_A_C,c253295110048_ar7_jun1912_B_C,c253295110054_ar2_jul1112_C_C
141,0,56,71,124507323_EF363326.1_351-617,CUST_15_PI426227893,6689,2,-2,0,0,1,3,0,-5,-1
142,0,40,126,124507323_EF363326.1_351-617,CUST_15_PI426227893,9204,1,1,0,0,-1,0,1,-2,0
143,0,39,127,124507323_EF363326.1_351-617,CUST_13_PI426227893,9449,-1,-4,0,1,-1,0,-1,1,-2
144,0,87,157,124507323_EF363326.1_351-617,CUST_13_PI426227893,1562,-1,5,1,0,1,1,1,2,-2
145,0,92,30,133856037_EF133951.1_101-712,CUST_19_PI426267032,724,1,10,2,0,-2,0,0,0,-1
146,0,67,56,133856037_EF133951.1_101-712,CUST_21_PI426267032,4811,2,4,1,-1,0,3,-1,1,1
147,0,38,103,133856037_EF133951.1_101-712,CUST_21_PI426267032,9625,3,0,0,0,0,-2,1,3,-5
148,0,41,107,133856037_EF133951.1_101-712,CUST_20_PI426267032,9131,0,2,1,0,-1,2,-2,1,-2
149,0,21,133,133856037_EF133951.1_101-712,CUST_19_PI426267032,12398,1,-2,1,0,-1,2,0,2,0
150,0,6,138,133856037_EF133951.1_101-712,CUST_20_PI426267032,14774,1,-1,0,1,0,1,0,0,-3
151,0,59,138,133856037_EF133951.1_101-712,CUST_20_PI426267032,6082,2,3,0,5,0,3,0,0,-2
152,0,38,148,133856037_EF133951.1_101-712,CUST_19_PI426267032,9521,-2,-11,0,-1,-2,2,1,1,-2
153,0,75,155,133856037_EF133951.1_101-712,CUST_21_PI426267032,3531,2,1,0,-1,-1,4,0,2,0
154,0,45,9,133856039_EF133952.1_75-686,CUST_23_PI426267032,8524,1,2,1,-1,1,-1,1,0,3
155,0,26,16,133856039_EF133952.1_75-686,CUST_24_PI426267032,11555,-1,4,2,0,-1,1,-4,1,0
156,0,59,30,133856039_EF133952.1_75-686,CUST_23_PI426267032,6136,1,4,-1,2,-1,-1,0,2,0
157,0,33,90,133856039_EF133952.1_75-686,CUST_24_PI426267032,10370,1,-2,1,0,2,3,2,0,-2
158,0,67,113,133856039_EF133952.1_75-686,CUST_22_PI426267032,4864,-2,0,-5,0,1,4,-1,1,-3
159,0,67,134,133856039_EF133952.1_75-686,CUST_22_PI426267032,4772,-1,-1,1,-1,-2,-2,2,0,0
160,0,40,141,133856039_EF133952.1_75-686,CUST_22_PI426267032,9278,2,0,0,0,0,4,1,-1,2
161,0,2,150,133856039_EF133952.1_75-686,CUST_24_PI426267032,15424,-1,7,1,-3,-4,0,-1,1,0
162,0,7,150,133856039_EF133952.1_75-686,CUST_23_PI426267032,14604,-1,6,0,2,-1,2,-2,0,1
163,0,26,18,133856041_EF133953.1_75-686,CUST_4_PI426267032,11554,-3,2,0,1,0,0,-1,-1,0
164,0,73,39,133856041_EF133953.1_75-686,CUST_6_PI426267032,3917,1,1,0,0,-1,2,1,3,0
165,0,92,96,133856041_EF133953.1_75-686,CUST_5_PI426267032,691,0,2,0,2,0,1,0,-3,0
166,0,75,98,133856041_EF133953.1_75-686,CUST_6_PI426267032,3478,-3,-5,1,1,0,2,0,-6,0
167,0,41,101,133856041_EF133953.1_75-686,CUST_5_PI426267032,9134,-1,-2,0,-4,0,0,0,0,2
168,0,15,123,133856041_EF133953.1_75-686,CUST_5_PI426267032,13387,-1,1,-1,1,0,1,1,-1,1
169,0,27,141,133856041_EF133953.1_75-686,CUST_6_PI426267032,11410,0,2,0,0,0,1,-1,1,0
170,0,32,148,133856041_EF133953.1_75-686,CUST_4_PI426267032,10505,-1,4,-2,1,0,-1,0,0,2
171,0,56,157,133856041_EF133953.1_75-686,CUST_4_PI426267032,6646,0,0,1,1,0,3,2,-1,0
